fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Matt Dwyer,UFC Fight Night: Mir vs Duffee,"Jul. 15, 2015",Alan Jouban,Welterweight Bout,Matt Dwyer,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,51 of 104,49%,9 of 22,0 of 3,3 of 4,9 of 23,2 of 5,1 of 1,1,29 of 117,24%,7 of 26,2 of 5,0 of 1,7 of 27,1 of 2,1 of 3
Matt Dwyer,UFC Fight Night: MacDonald vs Saffiedine,"Oct. 04, 2014",Albert Tumenov,Welterweight Bout,Matt Dwyer,3 Rnd (5-5-5),1,1:03,W,L,KO/TKO,2,4 of 12,33%,4 of 12,0 of 0,0 of 0,2 of 7,0 of 0,2 of 5,0,0 of 6,0%,0 of 5,0 of 1,0 of 0,0 of 6,0 of 0,0 of 0
Matt Dwyer,UFC Fight Night: Bigfoot vs Mir,"Feb. 22, 2015",William Macario,Welterweight Bout,Matt Dwyer,3 Rnd (5-5-5),1,3:14,L,W,KO/TKO,0,8 of 20,40%,1 of 9,0 of 2,7 of 9,8 of 20,0 of 0,0 of 0,1,13 of 37,35%,10 of 26,2 of 6,1 of 5,9 of 32,0 of 0,4 of 5
Edward Faaloloto,WEC 52: Faber vs. Mizugaki,"Nov. 11, 2010",Anthony Njokuani,Lightweight Bout,Edward Faaloloto,3 Rnd (5-5-5),2,4:54,W,L,KO/TKO,1,61 of 89,68%,15 of 33,6 of 6,3 of 3,21 of 38,3 of 3,0 of 1,0,17 of 58,29%,1 of 21,1 of 2,7 of 7,6 of 27,3 of 3,0 of 0
Yan Cabral,DREAM 17,"Sep. 24, 2011",Kazushi Sakuraba,Welterweight Bout,Yan Cabral,3 Rnd (5-5-5),2,2:42,L,W,Submission,0,5 of 22,22%,1 of 7,1 of 2,2 of 5,4 of 13,0 of 1,0 of 0,0,32 of 63,50%,19 of 40,1 of 1,2 of 2,5 of 15,4 of 9,13 of 19
Sergei Kharitonov,Strikeforce - Barnett vs. Kharitonov,"Sep. 10, 2011",Josh Barnett,Heavyweight Bout,Sergei Kharitonov,3 Rnd (5-5-5),1,4:28,W,L,Submission,0,21 of 30,70%,19 of 28,1 of 1,1 of 1,7 of 9,1 of 1,13 of 20,0,9 of 23,39%,9 of 23,0 of 0,0 of 0,8 of 20,1 of 2,0 of 1
Chad Anheliger,DWCS 5.2,"Sep. 07, 2021",Muin Gafurov,Bantamweight Bout,Chad Anheliger,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,31 of 65,47%,3 of 10,2 of 3,2 of 2,2 of 10,2 of 2,3 of 3,1,47 of 78,60%,14 of 26,6 of 6,1 of 1,4 of 7,3 of 3,14 of 23
Thiago Alves,UFC 100,,Georges St-Pierre,UFC Welterweight Title Bout,Thiago Alves,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,1,59 of 128,46%,4 of 19,1 of 3,7 of 8,12 of 29,0 of 0,0 of 1,0,30 of 162,18%,1 of 23,1 of 3,6 of 9,7 of 32,0 of 2,1 of 1
Sergei Kharitonov,PRIDE Bushido 1,"Oct. 05, 2003",Sergei Kharitonov,Heavyweight Bout,Jason Suttie,2 Rnd (5-5),1,2:25,W,L,Submission,0,12 of 19,63%,12 of 19,0 of 0,0 of 0,1 of 3,0 of 0,11 of 16,0,5 of 6,83%,1 of 2,1 of 1,3 of 3,3 of 4,2 of 2,0 of 0
Hector Lombard,PRIDE Bushido 13,"Nov. 05, 2006",Gegard Mousasi,Welterweight Bout,Hector Lombard,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,36 of 60,60%,10 of 24,7 of 8,0 of 1,9 of 17,4 of 9,4 of 7,0,16 of 48,33%,5 of 16,1 of 2,0 of 1,2 of 13,2 of 4,2 of 2
Hector Lombard,PRIDE Bushido 11,"Jun. 04, 2006",Akihiro Gono,Welterweight Bout,Hector Lombard,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,39 of 66,59%,11 of 23,12 of 18,8 of 11,22 of 41,7 of 9,2 of 2,0,33 of 108,30%,21 of 83,2 of 3,2 of 8,14 of 63,3 of 4,8 of 27
Dong Hyun Ma,UFC Fight Night: Henderson vs Masvidal,"Nov. 28, 2015",Dominique Steele,Welterweight Bout,Dong Hyun Ma,3 Rnd (5-5-5),3,0:27,W,L,KO/TKO,1,36 of 61,59%,12 of 26,1 of 3,0 of 0,4 of 12,8 of 13,1 of 4,0,19 of 42,45%,7 of 22,7 of 10,1 of 1,8 of 19,7 of 14,0 of 0
Dong Hyun Ma,UFC 221: Romero vs. Rockhold,"Feb. 10, 2018",Damien Brown,Lightweight Bout,Dong Hyun Ma,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,46 of 123,37%,4 of 16,1 of 4,6 of 7,11 of 27,0 of 0,0 of 0,0,67 of 153,43%,13 of 37,3 of 6,6 of 6,22 of 49,0 of 0,0 of 0
Dong Hyun Ma,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016",Marco Polo Reyes,Lightweight Bout,Dong Hyun Ma,3 Rnd (5-5-5),3,1:52,W,L,KO/TKO,2,135 of 299,45%,39 of 96,4 of 7,0 of 3,32 of 84,5 of 10,6 of 12,0,83 of 197,42%,22 of 62,1 of 2,0 of 0,13 of 50,10 of 14,0 of 0
Dong Hyun Ma,The Ultimate Fighter: Tournament of Champions Finale,"Dec. 03, 2016",Dong Hyun Ma,Lightweight Bout,Brendan O'Reilly,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,21 of 32,65%,6 of 11,1 of 1,7 of 7,1 of 4,2 of 2,11 of 13,0,25 of 38,65%,2 of 5,0 of 1,1 of 2,2 of 5,1 of 3,0 of 0
Lolohea Mahe,Strikeforce Challengers 9,"Jul. 23, 2010",Shane del Rosario,Heavyweight Bout,Lolohea Mahe,3 Rnd (5-5-5),1,3:48,W,L,KO/TKO,0,26 of 36,72%,8 of 16,10 of 12,8 of 8,13 of 21,13 of 15,0 of 0,0,5 of 16,31%,1 of 12,2 of 2,2 of 2,2 of 13,3 of 3,0 of 0
MarQuel Mederos,UFC Fight Night: Dolidze vs. Imavov,"Feb. 03, 2024",Landon Quinones,Lightweight Bout,MarQuel Mederos,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,55 of 149,36%,11 of 32,5 of 10,3 of 5,18 of 43,1 of 4,0 of 0,0,60 of 146,41%,7 of 29,3 of 4,2 of 3,11 of 35,1 of 1,0 of 0
Tyra Parker,Strikeforce - Payback,"Oct. 03, 2008",Michelle Waterson-Gomez,Catch Weight Bout,Tyra Parker,3 Rnd (3-3-3),1,1:20,W,L,Submission,0,12 of 14,85%,7 of 9,2 of 2,3 of 3,9 of 10,3 of 4,0 of 0,0,2 of 9,22%,1 of 8,0 of 0,1 of 1,2 of 9,0 of 0,0 of 0
MarQuel Mederos,DWCS 7.10,"Oct. 10, 2023",MarQuel Mederos,Lightweight Bout,Issa Isakov,3 Rnd (5-5-5),1,4:09,W,L,KO/TKO,1,24 of 40,60%,14 of 28,3 of 4,7 of 8,22 of 36,2 of 3,0 of 1,0,8 of 22,36%,6 of 19,0 of 1,2 of 2,7 of 21,1 of 1,0 of 0
Dong Hyun Ma,UFC Fight Night: Saint Preux vs. Okami,"Sep. 22, 2017",Takanori Gomi,Lightweight Bout,Dong Hyun Ma,3 Rnd (5-5-5),1,1:30,L,W,KO/TKO,0,2 of 3,66%,1 of 2,1 of 1,0 of 0,2 of 3,0 of 0,0 of 0,1,13 of 20,65%,8 of 15,2 of 2,3 of 3,8 of 9,0 of 0,5 of 11
Vanessa Melo,UFC Fight Night: Blachowicz vs. Jacare,"Nov. 16, 2019",Vanessa Melo,Women's Bantamweight Bout,Tracy Cortez,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,40 of 125,32%,20 of 86,1 of 1,0 of 0,21 of 87,0 of 0,0 of 0,0,79 of 140,56%,30 of 66,6 of 8,5 of 8,40 of 81,1 of 1,0 of 0
Lolohea Mahe,Strikeforce Challengers 7,"Mar. 26, 2010",Lavar Johnson,Heavyweight Bout,Lolohea Mahe,3 Rnd (5-5-5),2,3:29,W,L,KO/TKO,0,59 of 106,55%,8 of 29,2 of 2,2 of 3,9 of 31,3 of 3,0 of 0,0,16 of 55,29%,6 of 20,2 of 2,1 of 1,5 of 18,0 of 0,4 of 5
Vanessa Melo,UFC Fight Night: Holloway vs. Kattar,"Jan. 16, 2021",Sarah Moras,Women's Bantamweight Bout,Vanessa Melo,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,44 of 200,22%,7 of 57,2 of 4,8 of 9,17 of 70,0 of 0,0 of 0,0,56 of 169,33%,17 of 53,5 of 8,1 of 1,23 of 62,0 of 0,0 of 0
Dong Hyun Ma,UFC 234: Adesanya vs. Silva,"Feb. 09, 2019",Devonte Smith,Lightweight Bout,Dong Hyun Ma,3 Rnd (5-5-5),1,3:53,W,L,KO/TKO,1,19 of 43,44%,14 of 34,1 of 4,4 of 5,15 of 38,0 of 0,4 of 5,0,1 of 9,11%,0 of 4,0 of 1,1 of 4,1 of 9,0 of 0,0 of 0
Vanessa Melo,UFC Fight Night: Rodriguez vs. Stephens,"Sep. 21, 2019",Irene Aldana,Women's Bantamweight Bout,Vanessa Melo,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,125 of 333,37%,26 of 87,8 of 10,11 of 11,45 of 108,0 of 0,0 of 0,0,68 of 250,27%,11 of 72,2 of 9,3 of 5,16 of 86,0 of 0,0 of 0
Hector Lombard,UFC on FUEL TV: Silva vs. Stann,"Mar. 02, 2013",Yushin Okami,Middleweight Bout,Hector Lombard,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,37 of 89,41%,3 of 21,8 of 8,3 of 4,6 of 25,7 of 7,1 of 1,0,45 of 89,50%,8 of 21,4 of 4,1 of 1,11 of 23,2 of 3,0 of 0
Vanessa Melo,UFC 251: Usman vs. Masvidal,"Jul. 11, 2020",Karol Rosa,Women's Bantamweight Bout,Vanessa Melo,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,120 of 228,52%,19 of 54,4 of 6,17 of 19,40 of 78,0 of 0,0 of 1,0,45 of 135,33%,8 of 42,1 of 4,5 of 6,14 of 52,0 of 0,0 of 0
John Matua,UFC 6: Clash of the Titans,"Jul. 14, 1995",David Abbott,Open Weight Bout,John Matua,1 Rnd (20),1,0:20,W,L,KO/TKO,2,7 of 12,58%,7 of 12,0 of 0,0 of 0,0 of 1,6 of 6,1 of 5,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Dong Hyun Ma,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019",Dong Hyun Ma,Lightweight Bout,Omar Morales,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,15 of 56,26%,0 of 8,0 of 1,4 of 4,4 of 13,0 of 0,0 of 0,1,32 of 89,35%,3 of 10,4 of 4,0 of 0,3 of 9,0 of 0,4 of 5
Hector Lombard,UFC on FX: Sotiropoulos vs Pearson,"Dec. 14, 2012",Hector Lombard,Middleweight Bout,Rousimar Palhares,3 Rnd (5-5-5),1,3:38,W,L,KO/TKO,2,24 of 46,52%,23 of 43,1 of 3,0 of 0,15 of 33,2 of 3,7 of 10,0,6 of 13,46%,0 of 6,2 of 2,4 of 5,6 of 13,0 of 0,0 of 0
Dong Hyun Ma,UFC Fight Night: Covington vs. Lawler,"Aug. 03, 2019",Scott Holtzman,Lightweight Bout,Dong Hyun Ma,3 Rnd (5-5-5),2,5:00,W,L,TKO - Doctor's Stoppage,1,44 of 92,47%,6 of 15,1 of 1,1 of 9,4 of 15,3 of 3,1 of 7,0,16 of 58,27%,4 of 9,0 of 0,1 of 1,5 of 10,0 of 0,0 of 0
Hector Lombard,UFC 149: Faber vs Barao,"Jul. 21, 2012",Hector Lombard,Middleweight Bout,Tim Boetsch,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,26 of 77,33%,8 of 26,1 of 1,0 of 1,5 of 23,2 of 3,2 of 2,0,54 of 98,55%,4 of 13,4 of 10,11 of 12,16 of 31,3 of 4,0 of 0
Hector Lombard,UFC 182: Jones vs Cormier,"Jan. 03, 2015",Hector Lombard,Welterweight Bout,Joshua Burkman,3 Rnd (5-5-5),3,5:00,NC,NC,Overturned,0,53 of 129,41%,4 of 27,1 of 3,4 of 5,9 of 34,0 of 1,0 of 0,0,42 of 128,32%,7 of 28,5 of 8,5 of 6,15 of 39,2 of 3,0 of 0
Hector Lombard,UFC 171: Hendricks vs Lawler,"Mar. 15, 2014",Jake Shields,Welterweight Bout,Hector Lombard,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,4 of 72,5%,1 of 18,0 of 1,0 of 4,1 of 22,0 of 1,0 of 0,0,27 of 56,48%,17 of 31,1 of 2,0 of 0,5 of 12,10 of 14,3 of 7
Hector Lombard,UFC 166: Velasquez vs Dos Santos 3,"Oct. 19, 2013",Nate Marquardt,Welterweight Bout,Hector Lombard,3 Rnd (5-5-5),1,1:48,L,W,KO/TKO,0,4 of 10,40%,2 of 6,1 of 1,1 of 3,3 of 9,1 of 1,0 of 0,1,10 of 22,45%,10 of 22,0 of 0,0 of 0,5 of 14,2 of 5,3 of 3
Hector Lombard,UFC Fight Night: Hunt vs Mir,"Mar. 19, 2016",Hector Lombard,Welterweight Bout,Neil Magny,3 Rnd (5-5-5),3,0:46,L,W,KO/TKO,2,60 of 79,75%,47 of 59,1 of 1,2 of 2,5 of 8,5 of 6,40 of 48,0,148 of 197,75%,11 of 24,2 of 2,2 of 2,12 of 25,3 of 3,0 of 0
Hector Lombard,UFC Fight Night: Lewis vs. Browne,"Feb. 19, 2017",Johny Hendricks,Middleweight Bout,Hector Lombard,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,51 of 136,37%,3 of 16,2 of 2,6 of 6,8 of 20,3 of 4,0 of 0,0,37 of 103,35%,5 of 22,1 of 2,0 of 0,6 of 23,0 of 1,0 of 0
Hector Lombard,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016",Dan Henderson,Middleweight Bout,Hector Lombard,3 Rnd (5-5-5),2,1:27,W,L,KO/TKO,1,13 of 31,41%,2 of 12,0 of 1,3 of 3,5 of 15,0 of 1,0 of 0,1,23 of 41,56%,20 of 31,0 of 2,0 of 0,10 of 17,6 of 10,4 of 6
Hector Lombard,UFC 222: Cyborg vs. Kunitskaya,"Mar. 03, 2018",CB Dollaway,Middleweight Bout,Hector Lombard,3 Rnd (5-5-5),1,5:00,W,L,DQ,0,13 of 19,68%,4 of 7,8 of 11,1 of 1,12 of 18,1 of 1,0 of 0,1,19 of 33,57%,8 of 18,2 of 4,9 of 11,18 of 32,1 of 1,0 of 0
Hector Lombard,UFC Fight Night: Rockhold vs. Branch,"Sep. 16, 2017",Hector Lombard,Middleweight Bout,Anthony Smith,3 Rnd (5-5-5),3,2:33,L,W,KO/TKO,0,65 of 134,48%,12 of 42,4 of 4,15 of 16,26 of 49,2 of 7,3 of 6,1,35 of 115,30%,5 of 38,2 of 5,1 of 1,6 of 40,1 of 1,1 of 3
Hector Lombard,UFC Fight Night: Marreta vs. Anders,"Sep. 22, 2018",Thales Leites,Middleweight Bout,Hector Lombard,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,54 of 117,46%,2 of 14,3 of 6,0 of 0,5 of 20,0 of 0,0 of 0,0,46 of 80,57%,1 of 6,0 of 0,14 of 18,15 of 24,0 of 0,0 of 0
Brock Larson,UFC Fight Night 2,"Oct. 03, 2005",Jon Fitch,Middleweight Bout,Brock Larson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,25 of 49,51%,7 of 13,2 of 2,0 of 0,0 of 0,2 of 5,7 of 10,0,14 of 20,70%,0 of 0,2 of 2,9 of 10,0 of 0,11 of 12,0 of 0
Brock Larson,WEC 26: Condit vs. Alessio,"Mar. 24, 2007",Brock Larson,Welterweight Bout,Erik Apple,3 Rnd (5-5-5),1,3:43,W,L,Submission,0,2 of 11,18%,2 of 11,0 of 0,0 of 0,0 of 2,0 of 0,2 of 9,0,0 of 2,0%,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
Brock Larson,WEC 28: Faber vs. Farrar,"Jun. 03, 2007",Brock Larson,Welterweight Bout,Kevin Knabjian,3 Rnd (5-5-5),1,0:27,W,L,KO/TKO,2,7 of 9,77%,7 of 9,0 of 0,0 of 0,1 of 1,1 of 1,5 of 7,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Brock Larson,UFC Fight Night: Sanchez vs Riggs,"Dec. 13, 2006",Brock Larson,Welterweight Bout,Keita Nakamura,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,22 of 55,40%,5 of 13,1 of 2,0 of 0,1 of 4,2 of 4,3 of 7,0,16 of 44,36%,2 of 9,1 of 1,0 of 0,1 of 6,1 of 3,1 of 1
Brock Larson,WEC 33: Marshall vs. Stann,"Mar. 26, 2008",Brock Larson,Welterweight Bout,John Alessio,3 Rnd (5-5-5),1,1:50,W,L,DQ,0,6 of 10,60%,2 of 6,4 of 4,0 of 0,1 of 5,0 of 0,5 of 5,0,1 of 1,100%,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1
Brock Larson,WEC 29: Condit vs. Larson,,Carlos Condit,WEC Welterweight Title Bout,Brock Larson,5 Rnd (5-5-5-5-5),1,2:21,W,L,Submission,0,3 of 5,60%,2 of 4,1 of 1,0 of 0,0 of 1,2 of 2,1 of 2,0,1 of 9,11%,1 of 9,0 of 0,0 of 0,0 of 1,0 of 0,1 of 8
Brock Larson,WEC 35: Condit vs. Miura,"Aug. 03, 2008",Brock Larson,Welterweight Bout,Carlo Prater,3 Rnd (5-5-5),1,0:37,W,L,KO/TKO,1,8 of 11,72%,7 of 10,1 of 1,0 of 0,2 of 2,0 of 0,6 of 9,0,0 of 2,0%,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
Brock Larson,UFC Fight Night: Condit vs Kampmann,"Apr. 01, 2009",Brock Larson,Welterweight Bout,Jesse Sanders,3 Rnd (5-5-5),1,2:01,W,L,Submission,0,13 of 20,65%,13 of 20,0 of 0,0 of 0,0 of 2,0 of 0,13 of 18,0,0 of 3,0%,0 of 2,0 of 0,0 of 1,0 of 3,0 of 0,0 of 0
Brock Larson,UFC Fight Night: Diaz vs Guillard,"Sep. 16, 2009",Mike Pierce,Welterweight Bout,Brock Larson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,27 of 54,50%,0 of 5,6 of 7,6 of 6,0 of 2,4 of 6,8 of 10,0,11 of 33,33%,2 of 11,1 of 1,0 of 0,3 of 10,0 of 2,0 of 0
Brock Larson,UFC 98: Evans vs Machida,"May. 23, 2009",Brock Larson,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),1,3:06,W,L,Submission,0,4 of 10,40%,2 of 8,2 of 2,0 of 0,0 of 3,0 of 0,4 of 7,0,1 of 4,25%,1 of 1,0 of 0,0 of 3,0 of 3,1 of 1,0 of 0
Brock Larson,UFC 106: Ortiz vs Griffin 2,"Nov. 21, 2009",Brian Foster,Welterweight Bout,Brock Larson,3 Rnd (5-5-5),2,3:25,W,L,KO/TKO,0,28 of 63,44%,9 of 29,2 of 2,1 of 1,0 of 2,1 of 3,11 of 27,0,6 of 14,42%,5 of 9,0 of 0,0 of 0,1 of 3,3 of 4,1 of 2
Joe Pyfer,DWCS 4.2,"Aug. 11, 2020",Dustin Stoltzfus,Middleweight Bout,Joe Pyfer,3 Rnd (5-5-5),1,4:21,W,L,KO/TKO,0,16 of 21,76%,2 of 5,2 of 2,12 of 14,16 of 21,0 of 0,0 of 0,0,12 of 25,48%,4 of 16,3 of 4,5 of 5,10 of 22,0 of 0,2 of 3
Joe Pyfer,UFC Fight Night: Sandhagen vs. Song,"Sep. 17, 2022",Joe Pyfer,Middleweight Bout,Alen Amedovski,3 Rnd (5-5-5),1,3:55,W,L,KO/TKO,1,14 of 45,31%,12 of 42,1 of 2,1 of 1,13 of 44,0 of 0,1 of 1,0,11 of 30,36%,4 of 19,2 of 4,5 of 7,11 of 30,0 of 0,0 of 0
CM Punk,UFC 203: Miocic vs. Overeem,"Sep. 10, 2016",CM Punk,Welterweight Bout,Mickey Gall,3 Rnd (5-5-5),1,2:14,L,W,Submission,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0,20 of 32,62%,20 of 32,0 of 0,0 of 0,0 of 0,0 of 0,20 of 32
CM Punk,UFC 225: Whittaker vs. Romero 2,"Jun. 09, 2018",CM Punk,Welterweight Bout,Mike Jackson,3 Rnd (5-5-5),3,5:00,NC,NC,Overturned,0,19 of 81,23%,4 of 28,5 of 8,2 of 5,5 of 32,5 of 8,1 of 1,0,64 of 108,59%,12 of 27,6 of 7,0 of 0,13 of 28,5 of 6,0 of 0
Mike Pyle,WEC 17: Halloween Fury 4,"Oct. 14, 2005",Mike Pyle,Welterweight Bout,Bret Bergmark,3 Rnd (5-5-5),1,3:36,W,L,Submission,0,10 of 16,62%,6 of 10,4 of 6,0 of 0,0 of 2,4 of 6,6 of 8,0,10 of 19,52%,2 of 8,2 of 3,6 of 8,0 of 5,9 of 12,1 of 2
Mike Pyle,EliteXC - Renegade,"Nov. 10, 2007",Jake Shields,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),1,3:39,W,L,Submission,0,2 of 5,40%,2 of 4,0 of 1,0 of 0,0 of 2,0 of 0,2 of 3,0,4 of 7,57%,0 of 3,4 of 4,0 of 0,0 of 2,4 of 4,0 of 1
Mike Pyle,Affliction - Banned,"Jul. 19, 2008",Mike Pyle,Welterweight Bout,JJ Ambrose,3 Rnd (5-5-5),1,2:51,W,L,Submission,0,18 of 27,66%,15 of 22,3 of 4,0 of 1,0 of 2,2 of 3,16 of 22,0,9 of 13,69%,3 of 6,3 of 4,3 of 3,2 of 3,7 of 10,0 of 0
Mike Pyle,Strikeforce - Shamrock vs. Baroni,"Jun. 22, 2007",Mike Pyle,Welterweight Bout,Aaron Wetherspoon,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,65 of 120,54%,9 of 18,3 of 3,0 of 0,4 of 12,2 of 2,6 of 7,0,34 of 105,32%,6 of 24,3 of 3,1 of 1,9 of 26,1 of 2,0 of 0
Jens Pulver,BRI 3,"Jun. 01, 1999",Jens Pulver,Bout,Joe Stevenson,No Time Limit,1,1:52,W,L,KO/TKO,1,3 of 5,60%,2 of 4,1 of 1,0 of 0,1 of 2,2 of 3,0 of 0,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
Mike Pyle,UFC Fight Night: Diaz vs Guillard,"Sep. 16, 2009",Mike Pyle,Welterweight Bout,Chris Wilson,3 Rnd (5-5-5),3,2:15,W,L,Submission,0,12 of 41,29%,3 of 10,0 of 2,0 of 0,1 of 9,0 of 0,2 of 3,0,19 of 55,34%,1 of 5,2 of 8,0 of 1,2 of 10,1 of 4,0 of 0
Mike Pyle,UFC 120: Bisping vs Akiyama,"Oct. 16, 2010",John Hathaway,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,18 of 99,18%,7 of 48,2 of 4,0 of 0,9 of 52,0 of 0,0 of 0,0,46 of 97,47%,8 of 33,3 of 7,1 of 2,9 of 36,3 of 5,0 of 1
Mike Pyle,UFC 108: Evans vs Silva,"Jan. 02, 2010",Jake Ellenberger,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),2,0:22,W,L,KO/TKO,1,15 of 39,38%,8 of 21,1 of 1,0 of 0,2 of 7,1 of 1,6 of 14,0,5 of 8,62%,3 of 6,1 of 1,0 of 0,1 of 4,2 of 2,1 of 1
Daniel Puder,Strikeforce - Shamrock vs. Gracie,"Mar. 10, 2006",Daniel Puder,Heavyweight Bout,Jesse Fujarczyk,3 Rnd (5-5-5),1,1:54,W,L,Submission,0,6 of 16,37%,6 of 16,0 of 0,0 of 0,1 of 10,2 of 3,3 of 3,0,3 of 10,30%,3 of 10,0 of 0,0 of 0,3 of 9,0 of 1,0 of 0
Mike Pyle,UFC 115: Liddell vs Franklin,"Jun. 12, 2010",Mike Pyle,Welterweight Bout,Jesse Lennox,3 Rnd (5-5-5),3,4:44,W,L,Submission,1,49 of 122,40%,15 of 47,3 of 3,5 of 6,20 of 50,1 of 3,2 of 3,0,37 of 120,30%,5 of 26,5 of 15,7 of 9,16 of 48,1 of 2,0 of 0
Daniel Puder,Strikeforce - Revenge,"Jun. 09, 2006",Daniel Puder,Heavyweight Bout,Tom Tuggle,3 Rnd (5-5-5),1,0:28,W,L,Submission,0,1 of 1,100%,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Claudio Puelles,UFC Fight Night: Dos Anjos vs. Ferguson,,Martin Bravo,Ultimate Fighter Latin America 3 Lightweight Tournament Title Bout,Claudio Puelles,3 Rnd + OT (5-5-5-5),2,1:55,W,L,KO/TKO,1,56 of 121,46%,27 of 65,6 of 11,2 of 3,33 of 75,2 of 4,0 of 0,0,29 of 68,42%,10 of 36,10 of 13,3 of 3,21 of 48,2 of 4,0 of 0
Daniel Puder,Strikeforce - Playboy Mansion,"Sep. 29, 2007",Daniel Puder,Heavyweight Bout,Richard Dalton,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,49 of 66,74%,0 of 2,1 of 1,7 of 7,0 of 1,8 of 9,0 of 0,0,18 of 26,69%,0 of 0,3 of 3,5 of 5,0 of 0,8 of 8,0 of 0
Daniel Puder,Strikeforce - Triple Threat,"Dec. 08, 2006",Daniel Puder,Heavyweight Bout,Mike Cook,3 Rnd (5-5-5),2,2:31,W,L,Submission,0,13 of 18,72%,0 of 0,2 of 2,0 of 0,0 of 0,0 of 0,2 of 2,0,8 of 11,72%,0 of 2,4 of 4,0 of 0,0 of 0,0 of 0,4 of 6
Juan Manuel Puig,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"Jul. 06, 2014",Adriano Martins,Lightweight Bout,Juan Manuel Puig,3 Rnd (5-5-5),1,2:21,W,L,KO/TKO,1,9 of 24,37%,9 of 24,0 of 0,0 of 0,9 of 22,0 of 2,0 of 0,0,13 of 51,25%,4 of 37,1 of 1,8 of 13,13 of 51,0 of 0,0 of 0
Juan Manuel Puig,UFC Fight Night: Edgar vs Swanson,"Nov. 22, 2014",Juan Manuel Puig,Featherweight Bout,Dooho Choi,3 Rnd (5-5-5),1,0:18,L,W,KO/TKO,0,0 of 4,0%,0 of 3,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0,1,10 of 15,66%,10 of 15,0 of 0,0 of 0,3 of 6,0 of 0,7 of 9
