fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Sam Stout,UFC 113: Machida vs Shogun 2,"May. 08, 2010",Sam Stout,Lightweight Bout,Jeremy Stephens,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,1,70 of 181,38%,9 of 43,5 of 5,9 of 9,23 of 55,0 of 2,0 of 0,1,55 of 119,46%,18 of 27,4 of 4,4 of 4,22 of 31,2 of 2,2 of 2
Stefan Struve,UFC 254: Khabib vs. Gaethje,"Oct. 24, 2020",Stefan Struve,Heavyweight Bout,Tai Tuivasa,3 Rnd (5-5-5),1,4:59,L,W,KO/TKO,0,13 of 19,68%,4 of 6,4 of 8,5 of 5,13 of 19,0 of 0,0 of 0,1,27 of 42,64%,15 of 28,4 of 4,8 of 10,14 of 28,10 of 11,3 of 3
Sam Stout,UFC 142: Aldo vs Mendes,"Jan. 14, 2012",Thiago Tavares,Lightweight Bout,Sam Stout,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,50 of 128,39%,6 of 15,3 of 4,0 of 0,8 of 18,1 of 1,0 of 0,0,45 of 172,26%,2 of 20,5 of 7,0 of 0,5 of 25,2 of 2,0 of 0
Sean Strickland,UFC Fight Night: Felder vs. Dos Anjos,"Nov. 14, 2020",Brendan Allen,Catch Weight Bout,Sean Strickland,3 Rnd (5-5-5),2,1:32,L,W,KO/TKO,0,51 of 90,56%,16 of 41,9 of 12,6 of 6,31 of 58,0 of 1,0 of 0,1,94 of 161,58%,53 of 94,1 of 1,2 of 2,53 of 93,3 of 4,0 of 0
Stefan Struve,UFC Fight Night: Overeem vs. Rozenstruik,"Dec. 07, 2019",Stefan Struve,Heavyweight Bout,Ben Rothwell,3 Rnd (5-5-5),2,4:57,L,W,KO/TKO,0,53 of 77,68%,4 of 10,8 of 9,11 of 11,22 of 29,1 of 1,0 of 0,1,58 of 101,57%,10 of 20,7 of 7,2 of 3,10 of 21,9 of 9,0 of 0
Sean Strickland,UFC 276: Adesanya vs. Cannonier,"Jul. 02, 2022",Sean Strickland,Middleweight Bout,Alex Pereira,3 Rnd (5-5-5),1,2:36,L,W,KO/TKO,0,15 of 29,51%,9 of 20,6 of 8,0 of 1,15 of 29,0 of 0,0 of 0,1,25 of 40,62%,5 of 15,12 of 14,8 of 11,25 of 40,0 of 0,0 of 0
Sean Strickland,UFC Fight Night: Oezdemir vs. Smith,"Oct. 27, 2018",Nordine Taleb,Welterweight Bout,Sean Strickland,3 Rnd (5-5-5),2,3:10,L,W,KO/TKO,0,48 of 95,50%,9 of 33,9 of 12,17 of 17,35 of 62,0 of 0,0 of 0,1,65 of 177,36%,21 of 91,2 of 2,0 of 0,23 of 93,0 of 0,0 of 0
Denis Stojnic,UFC Fight Night: Lauzon vs Stephens,"Feb. 07, 2009",Cain Velasquez,Heavyweight Bout,Denis Stojnic,3 Rnd (5-5-5),2,2:34,W,L,KO/TKO,0,88 of 140,62%,35 of 81,11 of 12,22 of 22,24 of 58,44 of 57,0 of 0,0,7 of 39,17%,4 of 27,0 of 0,2 of 3,4 of 28,2 of 2,0 of 0
Dustin Stoltzfus,UFC Fight Night: Makhachev vs. Moises,"Jul. 17, 2021",Rodolfo Vieira,Middleweight Bout,Dustin Stoltzfus,3 Rnd (5-5-5),3,1:54,W,L,Submission,0,49 of 88,55%,20 of 43,1 of 1,2 of 2,23 of 46,0 of 0,0 of 0,0,67 of 192,34%,26 of 79,6 of 12,2 of 3,34 of 93,0 of 1,0 of 0
Dustin Stoltzfus,UFC Fight Night: Dariush vs. Tsarukyan,"Dec. 02, 2023",Punahele Soriano,Middleweight Bout,Dustin Stoltzfus,3 Rnd (5-5-5),2,4:10,L,W,Submission,0,31 of 73,42%,13 of 35,7 of 9,2 of 3,21 of 46,1 of 1,0 of 0,1,64 of 123,52%,15 of 51,17 of 19,9 of 9,37 of 72,4 of 7,0 of 0
Ken Stone,WEC 53: Henderson vs. Pettis,"Dec. 16, 2010",Eddie Wineland,Bantamweight Bout,Ken Stone,3 Rnd (5-5-5),1,2:11,W,L,KO/TKO,0,4 of 5,80%,4 of 5,0 of 0,0 of 0,2 of 3,0 of 0,2 of 2,0,3 of 12,25%,1 of 7,0 of 1,2 of 4,3 of 12,0 of 0,0 of 0
Niklas Stolze,UFC Fight Night: Volkov vs. Rozenstruik,"Jun. 04, 2022",Niklas Stolze,Lightweight Bout,Benoit Saint Denis,3 Rnd (5-5-5),2,1:32,L,W,Submission,0,11 of 14,78%,2 of 2,2 of 2,2 of 3,3 of 4,2 of 2,1 of 1,0,8 of 10,80%,2 of 3,2 of 3,1 of 1,2 of 4,1 of 1,2 of 2
Ryan Stonitsch,WEC 33: Marshall vs. Stann,"Mar. 26, 2008",Alex Serdyukov,Welterweight Bout,Ryan Stonitsch,3 Rnd (5-5-5),1,1:35,W,L,Submission,0,4 of 14,28%,3 of 13,0 of 0,1 of 1,0 of 3,0 of 2,4 of 9,0,4 of 11,36%,1 of 8,3 of 3,0 of 0,1 of 4,3 of 7,0 of 0
Tyler Stinson,Strikeforce - Rockhold vs. Jardine,"Jan. 07, 2012",Tarec Saffiedine,Welterweight Bout,Tyler Stinson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,46 of 96,47%,6 of 26,3 of 5,8 of 10,17 of 38,0 of 3,0 of 0,0,28 of 96,29%,11 of 40,2 of 5,4 of 5,7 of 37,10 of 13,0 of 0
Luke Stewart,Strikeforce - Destruction,"Nov. 21, 2008",Joe Riggs,Welterweight Bout,Luke Stewart,3 Rnd (5-5-5),2,2:05,W,L,KO/TKO,2,36 of 36,100%,18 of 18,0 of 0,0 of 0,0 of 0,3 of 3,15 of 15,0,2 of 4,50%,1 of 1,0 of 1,0 of 0,1 of 2,0 of 0,0 of 0
Dan Stittgen,UFC 143: Diaz vs Condit,"Feb. 04, 2012",Dan Stittgen,Welterweight Bout,Stephen Thompson,3 Rnd (5-5-5),1,4:13,L,W,KO/TKO,0,8 of 22,36%,0 of 5,1 of 5,7 of 12,8 of 22,0 of 0,0 of 0,1,22 of 38,57%,9 of 23,7 of 9,6 of 6,20 of 36,0 of 0,2 of 2
Joe Stevenson,UFC 86: Jackson vs Griffin,"Jul. 05, 2008",Joe Stevenson,Lightweight Bout,Gleison Tibau,3 Rnd (5-5-5),2,2:57,W,L,Submission,1,12 of 27,44%,6 of 14,2 of 2,1 of 1,3 of 10,4 of 5,2 of 2,0,4 of 24,16%,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
Kyle Stewart,UFC Fight Night: Cejudo vs. Dillashaw,"Jan. 19, 2019",Kyle Stewart,Welterweight Bout,Chance Rencountre,3 Rnd (5-5-5),1,2:25,L,W,Submission,0,2 of 11,18%,0 of 9,2 of 2,0 of 0,2 of 11,0 of 0,0 of 0,0,6 of 9,66%,5 of 8,0 of 0,1 of 1,4 of 7,0 of 0,2 of 2
Maia Stevenson,UFC Fight Night: Machida vs. Anders,"Feb. 03, 2018",Maia Stevenson,Women's Strawweight Bout,Polyana Viana,3 Rnd (5-5-5),1,3:50,L,W,Submission,0,6 of 11,54%,1 of 6,3 of 3,2 of 2,4 of 9,2 of 2,0 of 0,0,12 of 18,66%,11 of 16,1 of 2,0 of 0,4 of 8,1 of 2,7 of 8
